Value,Alpha,Starting Value,1,2,3,4,5,6,7,8,9,10
80,1.2,100,99.2295448623428,98.3049986971542,97.1955432989279,95.8641968210563,94.2665810476103,92.3494421194752,90.048875405713,87.2881953491984,83.9753792813809,80
70,1.2,100,98.8443172935142,97.4574980457313,95.7933149483918,93.7962952315844,91.3998715714154,88.5241631792128,85.0733131085696,80.9322930237976,75.9630689220714,70
60,1.2,100,98.4590897246856,96.6099973943084,94.3910865978557,91.7283936421125,88.5331620952206,84.6988842389503,80.0977508114261,74.5763906983968,67.9507585627619,60
40,1.2,100,97.6886345870285,94.9149960914626,91.5866298967836,87.5925904631687,82.7997431428309,77.0483263584256,70.1466262171392,61.8645860475954,51.9261378441429,40
30,1.2,100,97.3034070181999,94.0674954400397,90.1844015462475,85.5246888736969,79.933033666636,73.2230474181631,65.1710639199956,55.5086837221945,43.9138274848333,30
20,1.2,100,96.9181794493713,93.2199947886168,88.7821731957114,83.456787284225,77.0663241904412,69.3977684779007,60.1955016228522,49.1527813967938,35.9015171255239,20
80,1.4,100,99.7135231281754,99.3124555076208,98.7509608388445,97.9648683025575,96.864338751756,95.3235973806337,93.1665594610624,90.1467063736627,85.9189120513036,80
70,1.4,100,99.570284692263,98.9686832614312,98.1264412582667,96.9473024538364,95.296508127634,92.9853960709505,89.7498391915937,85.2200595604943,78.8783680769554,70
60,1.4,100,99.4270462563507,98.6249110152416,97.5019216776889,95.9297366051152,93.728677503512,90.6471947612674,86.333118922125,80.2934127473256,71.8378241026071,60
40,1.4,100,99.140569384526,97.9373665228624,96.2528825165334,93.8946049076727,90.5930162552679,85.970792141901,79.4996783831874,70.4401191209884,57.7567361539102,39.9999999999995
30,1.4,100,98.9973309486137,97.5935942766728,95.6283629359556,92.8770390589515,89.0251856311459,83.6325908322178,76.0829581137186,65.5134723078199,50.7161921795619,30
20,1.4,100,98.8540925127014,97.2498220304832,95.0038433553779,91.8594732102303,87.4573550070239,81.2943895225347,72.66623784425,60.5868254946513,43.6756482052135,20
80,1.6,100,99.8898589083946,99.7136331618261,99.4316719673163,98.9805340561007,98.2587133981558,97.1038003454439,95.2559394611048,92.2993620461621,87.5688381822538,80
70,1.6,100,99.8347883625919,99.5704497427391,99.1475079509744,98.470801084151,97.3880700972335,95.6557005181658,92.883909191657,88.4490430692422,81.3532572733802,70
60,1.6,100,99.7797178167892,99.4272663236521,98.8633439346326,97.9610681122014,96.5174267963114,94.2076006908876,90.5118789222092,84.5987240923232,75.1376763645076,60
40,1.6,100,99.6695767251839,99.1408994854781,98.2950159019488,96.941602168302,94.776140194467,91.3114010363313,85.7678183833136,76.8980861384853,62.7065145467604,40
30,1.6,100,99.6145061793812,98.9977160663911,98.0108518856069,96.4318691963523,93.9054968935449,89.8633012090531,83.3957881138658,73.0477671615663,56.4909336378878,30
20,1.6,100,99.5594356335785,98.8545326473041,97.726687869265,95.9221362244026,93.0348535926227,88.4152013817748,81.023757844418,69.1974481846464,50.2753527290142,20
80,1.8,100,99.9550620775825,99.874173817231,99.7285749485984,99.4664969850596,98.9947566506894,98.1456240488237,96.617185365465,93.8659957354212,88.9138544013367,80
70,1.8,100,99.9325931163738,99.8112607258466,99.5928624228976,99.1997454775895,98.4921349760345,97.2184360732363,94.9257780481985,90.7989936031336,83.3707816020105,70
60,1.8,100,99.910124155165,99.7483476344621,99.4571498971968,98.9329939701194,97.9895133013795,96.2912480976483,93.2343707309319,87.7319914708442,77.8277088026807,60
40,1.8,100,99.8651862327475,99.6225214516932,99.1857248457952,98.3994909551791,96.9842699520696,94.436872146473,89.8515560963988,81.5979872062671,66.7415632040247,40
30,1.8,100,99.8427172715388,99.5596083603087,99.0500123200944,98.1327394477089,96.4816482774145,93.5096841708851,88.1601487791313,78.5309850739777,61.1984904046949,30
20,1.8,100,99.8202483103301,99.4966952689242,98.9142997943937,97.8659879402388,95.9790266027596,92.5824961952976,86.4687414618656,75.4639829416901,55.6554176053687,20
