Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,6,8.84
1.4,6,2,9.79
1.4,7,3,9.56
1.4,8,1,9.89
1.4,9,5,8.59
1.4,10,1,9.86
1.4,11,10,11
1.4,12,1,9.83
1.4,13,3,9.19
1.4,14,4,8.58
1.4,15,3,9.06
1.7,5,1,9.98
1.7,6,2,9.94
1.7,7,2,9.93
1.7,9,6,8.96
1.7,10,1,9.97
1.7,11,1,9.96
1.7,12,2,9.89
1.7,13,1,9.95
1.7,14,1,9.95
1.7,15,2,9.86
2,5,1,9.99
2,6,9,7
2,7,2,9.98
2,8,5,9.76
2,9,3,9.94
2,10,1,9.99
2,11,2,9.97
2,12,1,9.99
2,13,9,3.51
2,14,1,9.99
2,15,1,9.99
2.3,5,2,9.99
2.3,6,3,9.98
2.3,7,2,9.99
2.3,8,1,9.99
2.3,9,5,9.86
2.3,10,1,9.99
2.3,11,2,9.99
2.3,12,3,9.97
2.3,13,1,9.99
2.3,14,2,9.99
2.3,15,2,9.98
2.6,6,3,9.99
2.6,7,1,9.99
2.6,8,2,9.99
2.6,9,2,9.99
2.6,10,4,9.97
2.6,11,2,9.99
2.6,12,9,5.39
2.6,13,4,9.96
2.6,14,6,9.69
1.7,8,10,8
2.6,5,10,5
2.6,15,10,15
