Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,6,5,9.06
1.4,7,3,9.56
1.4,8,1,9.89
1.4,9,3,9.44
1.4,10,1,9.86
1.4,11,10,11
1.4,13,1,9.81
1.4,14,8,3.1
1.4,15,1,9.79
1.7,5,1,9.98
1.7,6,1,9.98
1.7,7,4,9.74
1.7,8,2,9.93
1.7,10,1,9.97
1.7,11,1,9.96
1.7,13,1,9.95
1.7,14,8,5.2
2,6,1,9.99
2,8,5,9.76
2,9,1,9.99
2,10,9,5
2,11,4,9.84
2,12,1,9.99
2,14,5,9.58
2,15,5,9.55
2.3,5,1,9.99
2.3,6,1,9.99
2.3,7,8,8.68
2.3,8,1,9.99
2.3,9,1,9.99
2.3,11,1,9.99
2.3,13,5,9.8
2.3,14,1,9.99
2.3,15,1,9.99
2.6,8,2,9.99
2.6,13,6,9.72
2.6,15,3,9.98
1.4,5,10,5
1.4,12,10,12
1.7,9,10,9
1.7,12,10,12
1.7,15,10,15
2,5,10,5
2,7,10,7
2,13,10,13
2.3,10,10,10
2.3,12,10,12
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,14,10,14
